time,price,portfolio_value,action,action_name,amount_bought,amount_sold,cash,shares,commission
229,10.555697,9520.278986,0,nothing,0.000000,0.000000,8524.268237,114.180680,0.000000
230,10.716047,9495.692460,0,nothing,0.000000,0.000000,8524.268237,114.180680,0.000000
231,10.450322,9464.828737,1,nothing,0.000000,0.000000,8524.268237,114.180680,0.000000
232,10.234994,9450.172465,1,buy-small,103.274604,0.000000,7671.841413,217.455285,1.704854
233,10.377019,9455.763991,4,buy-small,93.624069,0.000000,6904.657272,311.079354,1.534368
234,10.468649,9470.315249,1,sell-large,0.000000,155.539677,8177.659525,155.539677,2.551107
235,10.363275,9405.904417,4,buy-small,98.201446,0.000000,7359.893572,253.741123,1.635532
236,10.413671,9374.795786,1,sell-large,0.000000,126.870562,8380.852984,126.870562,2.046011
237,10.033409,9341.008170,1,buy-small,106.762377,0.000000,7542.767686,233.632938,1.676171
238,10.024246,9482.234708,4,buy-small,97.801963,0.000000,6788.490917,331.434902,1.508554
239,9.850151,9469.670999,1,sell-large,0.000000,165.717451,8132.669069,165.717451,2.693744
240,9.735614,9470.484470,4,buy-small,100.600433,0.000000,7319.402162,266.317884,1.626534
241,9.231653,9453.691896,1,sell-large,0.000000,133.158942,8392.792234,133.158942,2.151082
242,9.437819,9437.820994,1,buy-small,105.131543,0.000000,7553.513010,238.290485,1.678558
243,9.176676,9586.101019,4,buy-small,95.331041,0.000000,6798.161709,333.621526,1.510703
244,9.405749,9526.759394,0,sell-large,0.000000,166.810763,8189.343425,166.810763,2.787939
245,9.648566,9529.052208,0,nothing,0.000000,0.000000,8189.343425,166.810763,0.000000
246,9.721869,9556.564640,0,nothing,0.000000,0.000000,8189.343425,166.810763,0.000000
247,9.538611,9564.207075,0,nothing,0.000000,0.000000,8189.343425,166.810763,0.000000
248,9.373678,9538.987290,1,nothing,0.000000,0.000000,8189.343425,166.810763,0.000000
249,9.222490,9532.441252,4,buy-small,101.014684,0.000000,7370.409082,267.825447,1.637869
250,9.378259,9495.308716,1,sell-large,0.000000,133.912724,8449.263135,133.912724,2.162032
251,8.846809,9543.482629,4,buy-small,107.949494,0.000000,7604.336822,241.862217,1.689853
252,8.567341,9596.947708,1,sell-large,0.000000,120.931109,8571.970579,120.931109,1.939146
253,8.297034,9605.398038,1,buy-small,100.933440,0.000000,7714.773521,221.864548,1.714394
254,8.420733,9566.664508,4,buy-small,90.351704,0.000000,6943.296169,312.216253,1.542955
255,9.098791,9575.484333,0,sell-large,0.000000,156.108126,8252.356970,156.108126,2.623368
256,8.915531,9561.895433,0,nothing,0.000000,0.000000,8252.356970,156.108126,0.000000
257,9.304956,9538.293758,4,nothing,0.000000,0.000000,8252.356970,156.108126,0.000000
258,9.066720,9518.770099,4,sell-large,0.000000,78.054063,8894.039427,78.054063,1.285937
259,8.956765,9519.575748,1,sell-large,0.000000,39.027032,9205.780032,39.027032,0.624731
260,8.631481,9497.368031,1,buy-small,114.264058,0.000000,8285.202029,153.291090,1.841156
261,8.842228,9461.451647,2,buy-small,104.565509,0.000000,7456.681826,257.856599,1.657040
262,8.727691,9572.084255,4,buy-large,478.585892,0.000000,3728.340913,736.442492,7.456682
263,8.549014,9626.972347,4,sell-large,0.000000,368.221246,6644.368841,368.221246,5.843743
264,8.553596,9622.302738,2,sell-large,0.000000,184.110623,8132.687990,184.110623,2.982604
265,9.149186,9808.940937,4,buy-large,501.579226,0.000000,4066.343995,685.689849,8.132688
266,9.369097,9767.071399,4,sell-large,0.000000,342.844924,6931.899869,342.844924,5.742597
267,9.007161,9736.748464,0,sell-large,0.000000,171.422462,8346.650462,171.422462,2.835172
268,9.007161,9748.528958,4,nothing,0.000000,0.000000,8346.650462,171.422462,0.000000
269,9.149186,9674.087997,0,sell-large,0.000000,85.711231,9046.187832,85.711231,1.401878
270,8.805576,9668.983122,3,nothing,0.000000,0.000000,9046.187832,85.711231,0.000000
271,8.663551,9661.790292,2,sell-small,0.000000,8.571123,9108.342802,77.140108,0.124559
272,8.805576,9828.492560,4,buy-large,633.495790,0.000000,4554.171401,710.635898,9.108343
273,8.791832,9828.101728,4,sell-large,0.000000,355.317949,7186.057659,355.317949,5.274321
274,8.480293,9859.645180,1,sell-large,0.000000,177.658975,8504.437650,177.658975,2.642044
275,8.315360,9832.794062,4,buy-small,111.264722,0.000000,7653.993885,288.923697,1.700888
276,8.489456,9822.673183,1,sell-large,0.000000,144.461848,8741.215173,144.461848,2.178800
277,8.365756,9823.316428,0,buy-small,116.532176,0.000000,7867.093656,260.994025,1.748243
278,8.484874,9774.291050,1,nothing,0.000000,0.000000,7867.093656,260.994025,0.000000
279,8.571921,9755.838038,4,buy-small,107.443410,0.000000,7080.384290,368.437434,1.573419
280,8.636062,9754.006490,1,sell-large,0.000000,184.218717,8415.435711,184.218717,2.675454
281,8.329104,9777.047274,4,buy-small,115.584490,0.000000,7573.892139,299.803207,1.683087
282,8.379501,9768.663076,1,sell-large,0.000000,149.901604,8673.266552,149.901604,2.203155
283,8.292453,9763.240150,4,buy-small,118.453570,0.000000,7805.939897,268.355174,1.734653
284,8.365756,9770.503802,1,sell-large,0.000000,134.177587,8782.632723,134.177587,1.957300
285,8.168753,9882.442842,4,buy-small,119.051527,0.000000,7904.369451,253.229114,1.756527
286,8.361174,9881.624938,0,sell-large,0.000000,126.614557,8891.428073,126.614557,1.978073
287,8.475711,9868.283182,0,nothing,0.000000,0.000000,8891.428073,126.614557,0.000000
288,8.732273,9859.001829,1,nothing,0.000000,0.000000,8891.428073,126.614557,0.000000
289,8.723111,9902.818531,1,buy-small,116.118554,0.000000,8002.285266,242.733111,1.778286
290,8.507781,9879.106923,0,buy-small,101.999517,0.000000,7202.056739,344.732628,1.600457
